,tconst,title,numVotes,averageRating,genres,runtimeMinutes,startYear,popularity,id_x,overview,poster_path,id_tmdb_x,id_tmdb_y,name_x,Unnamed: 0,id_tmdb,iso_639_1,iso_3166_1,name_y,key,site,size,type,official,published_at,id_y,lien
0,tt10627584,La vie devant soi,15531,6.8,Drama,94,2020,11.893,667869,"Bari, Les Pouilles, Italie. Madame Rosa est une femme âgée juive et ancienne prostituée. Elle accepte à contrecoeur de prendre soin de Momo, un garçonnet de douze ans, issu de la rue et d'origine sénégalaise. D'abord conflictuelle, leur relation va se muer en une profonde amitié...",https://image.tmdb.org/t/p/original//h0OdXMluIStH4qWT5vO0TZ6CxUb.jpg,tt10627584,667869,"based on novel or book,remake,holocaust (shoah) survivor,seaside town,street kid,elderly lady",0,667869,fr,FR,La Vie devant soi - Bande Annonce [VF],FWnmTbuzCL8,YouTube,1080.0,Trailer,True,2020-10-21T14:30:03.000Z,5f9050c555c1f4003721afca,https://www.youtube.com/watch?v=FWnmTbuzCL8
1,tt0257044,Les Sentiers de la perdition,284282,7.7,"Crime,Drama,Thriller",117,2002,26.415,4147,"En 1930, deux pères : Michael Sullivan, un tueur professionnel au service de la mafia irlandaise dans le Chicago de la Dépression, et Mr. John Rooney, son patron et mentor, qui l'a élevé comme son fils. Deux fils : Michael Sullivan junior et Connor Rooney, qui font chacun des efforts désespérés pour s'attirer l'estime et l'amour de leurs géniteurs. La jalousie et l'esprit de compétition les plongent dans une spirale de violence aveugle dont les premières victimes sont la femme de Sullivan et son fils cadet Peter. Un long voyage commence alors pour Michael Sullivan et son fils survivant. Au bout de cette route, la promesse d'une vengeance et l'espoir de conjurer l'enfer. Et peut-être l'aube d'un sentiment nouveau entre un père et son fils.",https://image.tmdb.org/t/p/original//3enh2SKOopjMSxBe6oFNEaf4iKk.jpg,tt0257044,4147,"hotel,farm,hitman,illinois,great depression,road trip,based on comic,revenge,organized crime,mafia,bank robbery,based on graphic novel,homework,learning to drive,spoiled son,scarred face,liberty half dollar,lake michigan,1930s",0,4147,fr,FR,Les Sentiers de la perdition ( bande annonce VF ),VNEb-_dQnJM,YouTube,360.0,Trailer,False,2012-07-15T16:54:39.000Z,57cf0b2cc3a3684f2b001ad0,https://www.youtube.com/watch?v=VNEb-_dQnJM
2,tt0317219,Cars : Quatre Roues,468760,7.2,"Adventure,Animation,Comedy",116,2006,74.874,920,"Un champion de course, Flash McQueen vit à cent à l'heure jusqu’à ce qu’un détour le mène à Radiator Springs, une petite ville oubliée sur la Route 66. Il y rencontre Sally, Martin, Doc Hudson et un tas de personnages amusants qui l’aident à découvrir que la vie vaut plus que les trophées et la célébrité.",https://image.tmdb.org/t/p/original//hvHw7ASXEK8x3EawlOtwYXrovdo.jpg,tt0317219,920,"friendship,car race,success,route 66,porsche,retirement,road trip,anthropomorphism,rural area,los angeles, california,aftercreditsstinger,duringcreditsstinger",0,920,fr,FR,Cars - Bande-annonce 3 - VF,OFWMrNpzATk,YouTube,360.0,Trailer,False,2012-12-08T09:46:31.000Z,5a24965792514103300cbb73,https://www.youtube.com/watch?v=OFWMrNpzATk
3,tt0397535,Mémoires d'une geisha,160549,7.3,"Drama,Romance",145,2005,37.731,1904,"Quelques années avant la Seconde Guerre mondiale, Chiyo, une petite fille japonaise, est arrachée à sa famille pauvre pour aller travailler comme servante dans une maison de geishas. En grandissant, elle se plie avec docilité à l'initiation difficile qui fera d'elle une vraie geisha. Elle triomphe des pièges que lui tend sa rivale, la fourbe Hatsumomo et devient, après des années de travail, la légendaire geisha Sayuri. Très belle, épanouie dans son art, Sayuri fascine les hommes les plus puissants. Mais celle qui n'a plus le droit d'aimer reste hantée par l'amour qu'elle porte, en secret, au seul homme qu'elle ne peut atteindre...",https://image.tmdb.org/t/p/original//nodOVRLzxr9914qutKTs2NWB63P.jpg,tt0397535,1904,"secret love,japan,prostitute,sibling relationship,geisha,brothel,mentor,world war ii,loss of virginity,period drama,kimono,sumo,kyoto, japan,1920s,1940s,1930s,loving,student mentor relationship,loss of sister,loss of parents,admiring,appreciative",0,1904,fr,FR,La vidéo Mémoires d'une geisha   bande annonce vost sur L'Internaute,K6Rx55Kx9vg,YouTube,360.0,Trailer,False,2009-05-06T09:35:53.000Z,63fb791284f24900ccd1f92e,https://www.youtube.com/watch?v=K6Rx55Kx9vg
4,tt0119174,The Game,428638,7.7,"Drama,Mystery,Thriller",129,1997,73.982,2649,"Nicholas Van Orton, homme d'affaires avisé, reçoit le jour de son anniversaire un étrange cadeau que lui offre son frère Conrad. Il s'agit d'un jeu. Nicholas découvre peu à peu que les enjeux en sont très élevés, bien qu'il ne soit certain ni des règles, ni même de l'objectif réel. Il prend peu à peu conscience qu'il est manipulé jusque dans sa propre maison par des conspirateurs inconnus qui semblent vouloir faire voler sa vie en éclats.",https://image.tmdb.org/t/p/original//2sUcLRG3ZwE8JOrCzk3M6GyCsTx.jpg,tt0119174,2649,"suicide,sibling relationship,san francisco, california,birthday,gun,key,manipulation,restaurant,danger of life,birthday party,game,millionaire,surprising,trapped in an elevator,birthday present,investment banker,puzzlement",0,2649,fr,FR,The Game   Bande annonce vf,jKkCfzZRVTk,YouTube,360.0,Trailer,False,2011-01-10T16:13:47.000Z,54ad3968c3a3680c2100bdd7,https://www.youtube.com/watch?v=jKkCfzZRVTk
5,tt0120902,"The X-Files, le film: Combattre le futur",110106,7.0,"Drama,Mystery,Sci-Fi",121,1998,37.493,846,"Les inénarrables aventures de l'agent Fox Mulder et de sa coéquipière Dana Scully adaptées ici pour le grand écran. Tout commence par la découverte, au nord du Texas, d'ossements préhistoriques dans une grotte par un jeune garçon. A leur contact un mystérieux parasite pénètre sa peau et envahit son organisme. Le corps de l'enfant est évacué par un certain Bronschweig avant l'arrivée des secours. Mulder et Scully vont bientôt découvrir un projet de guerre bactériologique par la propagation d'un virus. Le nord du Texas servirait de champ d'expérimentation...",https://image.tmdb.org/t/p/original//mn1jd14a6q7DWxtO69ZnkXE9ItL.jpg,tt0120902,846,"helicopter,space marine,government,bomb,mutation,extraterrestrial technology,obsession,fbi,secret society,secret organization,secret lab,x-files,ufo,conspiracy,ovine",2,846,fr,FR,The X-Files : Le Film (1998) | Teaser VF (HQ),tjlqqS0foxs,YouTube,480.0,Teaser,False,2023-06-26T01:44:44.000Z,649e0398c9dbf90107e14218,https://www.youtube.com/watch?v=tjlqqS0foxs
6,tt0765443,Les Promesses de l'ombre,260833,7.6,"Crime,Drama,Thriller",100,2007,39.142,2252,"Bouleversée par la mort d'une jeune fille qu'elle aidait à accoucher, Anna tente de retrouver la famille du nouveau-né en s'aidant du journal intime de la disparue, écrit en russe. En remontant la piste de l'ouvrage qu'elle tente de faire décrypter, la sage-femme rencontre Semyon. Elle ignore que ce paisible propriétaire du luxueux restaurant Trans-Siberian est en fait un redoutable chef de gang et que le document qu'elle possède va lui attirer de sérieux problèmes...Pour Nikolai, chauffeur et homme de main de la toute-puissante famille criminelle de l'Est, c'est le début d'une remise en cause. Entre Semyon et son fils Kirill, prêts à tout pour récupérer le journal, et l'innocente Anna, sa loyauté va être mise à rude épreuve. Autour d'un document qui se révèle de plus en plus explosif, plusieurs vies sont en jeu, dont la sienne, alors que se déchaînent les meurtres et les trahisons dans la famille comme dans la ville...",https://image.tmdb.org/t/p/original//wcqsiJ2Ak4HhLQA90MWiktTjloB.jpg,tt0765443,2252,"chauffeur,london, england,prostitute,jealousy,rape,tattoo,hitman,parent child relationship,bratva (russian mafia),gangster,human trafficking,diary,midwife,murder,statutory rape,orphan,brutality,motorcycle,disposing of a dead body,bathhouse,empathy",0,2252,fr,FR,Promesses de l'Ombre VF,DYa_Wb7b050,YouTube,360.0,Trailer,False,2007-10-03T10:14:24.000Z,533ec65bc3a3685448000ba0,https://www.youtube.com/watch?v=DYa_Wb7b050
7,tt0808151,Anges & Démons,309335,6.7,"Action,Mystery,Thriller",138,2009,69.196,13448,"Une antique confrérie secrète parmi les plus puissantes de l'Histoire, les ""Illuminati"", qui s'était jurée autrefois d'anéantir l'Église catholique, est de retour. Cette fois, elle est sur le point de parvenir à son but : Robert Langdon, expert en religions d'Harvard, en a la certitude. Langdon a peu de temps pour comprendre ce qui se trame contre le Vatican et déjouer ces nouveaux crimes. Une course contre la montre et contre les tueurs qui démarre tel un jeu de piste : des églises romaines aux cryptes enfouies, des catacombes les plus profondes aux majestueuses cathédrales... Pour l'aider à comprendre toutes ces énigmes, Langdon va rencontrer Vittoria Vetra, une scientifique aussi belle que mystérieuse. Cette fois, il sait à qui il se confronte. Cette enquête diabolique est un piège, chaque secret est une clé, chaque révélation un danger...",https://image.tmdb.org/t/p/original//yNrMIGy1eG0cjd2WSrHz2OcUWEy.jpg,tt0808151,13448,"based on novel or book,rome, italy,vatican,symbolism,illuminati,quantum mechanics,prequel,anti matter,conspiracy,investigator,catholicism,cern",0,13448,fr,FR,Anges et démons Bande annonce,5pQ4FToI020,YouTube,360.0,Trailer,False,2009-02-17T18:59:18.000Z,533ec674c3a36854480024ca,https://www.youtube.com/watch?v=5pQ4FToI020
8,tt0298148,Shrek 2,504131,7.3,"Adventure,Animation,Comedy",93,2004,194.598,809,"Devenus de jeunes mariés, Shrek et Fiona rentrent de leur heureuse lune de miel. Ils sont invités par les parents de Fiona à venir dîner dans leur royaume, à Far Far Away. Mais ils ne se doutent pas que leur fille est devenue une ravissante ogresse… Ce mariage met par ailleurs en péril l’avenir et les projets les plus secrets du Roi…",https://image.tmdb.org/t/p/original//1h7a2wlFtVqrbohFSmPty6sCE3A.jpg,tt0298148,809,"prison,princess,magic,kingdom,fairy tale,liberation,transformation,honeymoon,prince,villain,parents-in-law,enchantment,sequel,anthropomorphism,dragon,ogre,cartoon donkey,shrek cinematic universe",0,809,fr,FR,Shrek 2 - Bande Annonce VF,MQ5CP5uouLg,YouTube,360.0,Trailer,False,2019-08-05T19:15:05.000Z,6092f8e2a06efe007a43887f,https://www.youtube.com/watch?v=MQ5CP5uouLg
9,tt0114369,Seven,1795754,8.6,"Crime,Drama,Mystery",127,1995,260.014,807,"À New York, un criminel anonyme a décidé de commettre 7 meurtres basés sur les 7 pêchés capitaux énoncés dans la Bible : gourmandise, avarice, paresse, orgueil, luxure, envie et colère. Vieux flic blasé à 7 jours de la retraite, l'inspecteur Somerset mène l'enquête tout en formant son remplaçant, l'ambitieux inspecteur David Mills…",https://image.tmdb.org/t/p/original//h4X4tJFxJobAImCMekVZXUpJVJC.jpg,tt0114369,807,"drug dealer,rage and hate,police,s.w.a.t.,sadism,self-fulfilling prophecy,psychopath,detective,rain,investigation,pension,evisceration,pride and vanity,immoderateness,insomnia,murder,serial killer,religion,seven deadly sins,depravity,neo-noir",0,807,fr,FR,Seven Trailer,ObOexjW0dgY,YouTube,1080.0,Trailer,False,2023-06-14T13:35:33.000Z,6489c26299259c00accf1adb,https://www.youtube.com/watch?v=ObOexjW0dgY
